Iteration,Acquisition Function Value,Chosen SMILES,Best Value
0,[0.0212898],CCCCC(NC(=O)CCCCCNC(=O)C1CCC2c3[nH]c4ccccc4c3CCN2C1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CC(N)CC1C(N)=O,0.6091877614045919
1,[0.01977463],CC(NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)C(NC(=O)C(NC(=O)C1CCCN1)C(C)C)C(C)O)C(N)=O,0.6091877614045919
2,[0.02083981],CC(=S)NCCCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)O)C(C)O,0.6091877614045919
3,[0.02212098],CC(C)CC(NC(=O)C(C)N)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NCCC(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(N)=O,0.6091877614045919
4,[0.02214256],CC(C)CC(NC(=O)C(N)CCCCN)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)O,0.6091877614045919
5,[0.02249485],CC(C)CC(NC(=O)C1CCC(=O)N1)C(=O)NC(CCCCN)C(=O)NC1(C(N)=O)CCCCC1,0.6091877614045919
6,[0.02298429],NCCCCC(NC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)O,0.6091877614045919
7,[0.02754256],CC(C)CC(N)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)O,0.6091877614045919
8,[0.02538996],CC(C)CC(NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(C)CCCCN)C(C)(C)C)C(=O)O,0.6091877614045919
9,[0.02729408],CCCCC(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)O,0.6091877614045919
10,[0.02804538],CC(C)C(CC(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(N)CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(N)=O,0.6091877614045919
11,[0.02941529],CC(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)O,0.6091877614045919
12,[0.03002668],CC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCC[N+](C)(C)C)C(=O)NC(CO)C(N)=O)C(C)C,0.6091877614045919
13,[0.02815574],CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(=O)O,0.6091877614045919
14,[0.02671724],CC(C)(C)OC(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)N1CCCCC1,0.6236879437825181
15,[0.03071913],N=C(N)NCCCC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)N1CCCCC1,0.6236879437825181
16,[0.03340985],CC(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.6236879437825181
17,[0.03182317],CC(C)CC(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)c1ccncc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.6236879437825181
18,[0.03077737],CC(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.6236879437825181
19,[0.03205482],CC(C)C(NC(=O)C(N)Cc1cnc[nH]1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,0.6236879437825181
