Experiment,BO Iteration,EI MPO
Experiment 1,1, 0.4451921
Experiment 1,2, 0.46402144
Experiment 1,3, 0.54122332
Experiment 1,4, 0.4365351
Experiment 1,5, 0.15856856
Experiment 1,6, 0.59890059
Experiment 1,7, 0.0267051
Experiment 1,8, 0.41640577
Experiment 1,9, 0.44450401
Experiment 1,10, 0.50558213
Experiment 1,11, 0.47135524
Experiment 1,12, 0.56345134
Experiment 1,13, 0.20732826
Experiment 1,14, 0.40977449
Experiment 1,15, 0.4856203
Experiment 1,16, 0.49247377
Experiment 1,17, 0.47621491
Experiment 1,18, 0.51337107
Experiment 1,19, 0.5056823
Experiment 1,20, 0.37781271
Experiment 2,1, 0.64818227
Experiment 2,2, 0.58658348
Experiment 2,3, 0.57827986
Experiment 2,4, 0.42633394
Experiment 2,5, 0.44590617
Experiment 2,6, 0.64051206
Experiment 2,7, 0.62555303
Experiment 2,8, 0.62524119
Experiment 2,9, 0.59111762
Experiment 2,10, 0.60312745
Experiment 2,11, 0.61733944
Experiment 2,12, 0.60848202
Experiment 2,13, 0.51121555
Experiment 2,14, 0.57262235
Experiment 2,15, 0.52282099
Experiment 2,16, 0.58014213
Experiment 2,17, 0.48189756
Experiment 2,18, 0.61026122
Experiment 2,19, 0.61007311
Experiment 2,20, 0.5877325
Experiment 3,1, 0.47413753
Experiment 3,2, 0.46221302
Experiment 3,3, 0.62621624
Experiment 3,4, 0.54255892
Experiment 3,5, 0.54831027
Experiment 3,6, 0.58641458
Experiment 3,7, 0.54447517
Experiment 3,8, 0.6109651
Experiment 3,9, 0.60717064
Experiment 3,10, 0.61792558
Experiment 3,11, 0.59814053
Experiment 3,12, 0.558184
Experiment 3,13, 0.55733007
Experiment 3,14, 0.53369209
Experiment 3,15, 0.57627935
Experiment 3,16, 0.56712982
Experiment 3,17, 0.54955367
Experiment 3,18, 0.59545267
Experiment 3,19, 0.57802826
Experiment 3,20, 0.47876535
