BO Iteration, EI MPO, EHVI-MPO-F1, EHVI-MPO-F2, EHVI-MPO-F3
1, 0.60918776,  0.12105473,  0.8672588,  0.3377915 
2, 0.47876535,  0.12791465,  0.9657267,  0.24901704
3, 0.51447451,  1.0,         1.0,         0.33082707
4, 0.48436465,  0.77055673,  1.0,         0.38461538
5, 0.4677502,   0.91749101, 0.96930589, 0.22744648
6, 0.50696626,  0.01875678,  1.0,         0.41147687
7, 0.58641458,  1.0,         0.11829294, 0.27862595
8, 0.50829832,  1.0,         0.53971385, 0.22822446
9, 0.54831027,  0.0000582638923, 1.0, 0.308159722
10, 0.54955367, 1.0,         0.79114808, 0.34313725
11, 0.54447517, 1.0,         0.04906581, 0.18555556
12, 0.53369209, 0.15439446, 0.99483178, 0.17083333
13, 0.50465772, 1.0,         1.0,        0.2027845
14, 0.43255955, 1.0,         1.0,         0.20592486
15, 0.62368794, 1.0,         1.0,         0.18365817 
16, 0.62177829, 1.0,         1.0,         0.24652339
17, 0.57982349, 1.0,         1.0,        0.18362534
18, 0.58801521, 1.0,         1.0,         0.17811297
19, 0.57133869, 1.0,         0.71348387, 0.25496689
20, 0.53053183, 0.8824969,  0.99412901, 0.2108637 
