Iteration,Chosen SMILES,Value of Chosen SMILES
0,O[C@@]12[C@H]3[C@@H]([C@@]4([C@](O)(CC3)C[C@@H](O[C@@H]5O[C@H]([C@H](O)[C@@H](O)[C@H]5O)C)C[C@H]4O)CO)[C@H](O)C[C@@]1([C@H](CC2)C=6C=C(OC6)O)C,0.3764175806653309
1,N(C(=O)CCCCCCC/C=C\CCCCCCCC)CCO,0.3100793598013509
2,[C@@H]1(/C=C/[C@@H](O)CCCCC)[C@H]([C@@H](O)C[C@H]1O)C/C=C\CCCC(O)=O,0.3345322856647795
3,ClCCN(P1(OCCCN1)=O)CCCl,0.3068666882361444
4,O1CCN(CC1)CCCNC(=O)/C=N/O,0.3017389391890729
5,C1[C@@H](C[C@H]2CC[C@@H]3[C@@H]([C@@]2(C)C1)CC[C@]4([C@@]3(CC[C@@H]4C5=COC(=C5)O)O)C)O[C@H]6C[C@@H]([C@@H]([C@H](O6)C)O[C@@H]7O[C@@H]([C@H]([C@H](C7)O)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O)O)C)O,0.37417366346861075
6,P(OCC)(OCC)(=O)CN(CCNP(OCC)(OCC)=O)CC,0.3790677972370464
7,O([C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)CC(=O)CC4)C)CC2)CC1)C)C(=O)C)C(=O)CCCCC,0.4476277642540822
8,N(C1CCCCC1)C2CCCCC2,0.0
9,C(CCCCCCC/C=C\C/C=C\C/C=C\CC)(O)=O,0.3414766712649374
10,C(CC(N[C@@H](C(C)C)C(N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)[C@H](CC(N[C@H](C(N[C@H]([C@H](CC(O)=O)O)CC(C)C)=O)C)=O)O)=O)=O)(C)C,0.21947579164376094
11,O=C(C=1C=CC(=CC1)NCCCC)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.3455640538231012
12,P(OCC(CCCC)CC)(OCC(CCCC)CC)(OCC(CCCC)CC)=O,0.2550334778061078
13,C(CC(O)(C(=O)O)CC(O)=O)(O)=O,0.40023570001869424
14,S=C(NNC(=O)C1CCC(CC1)CCCCC)NCC,0.3653131416699623
15,BrC1(Br)C(C1)(C)C(=O)NCCCNC(=O)C2(C(Br)(Br)C2)C,0.409945778481871
16,O=C(N1CCCCC1)C23CC4CC(C2)CC(C3)C4,0.44465376484450836
17,CCCCCCCCCCCC(=O)O,0.3939538519452013
18,O(CCCC)C(=O)/C=C\C(OCCCC)=O,0.3878295481198769
19,O([C@@H]1[C@H]([C@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@H](C(O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@@H](C[C@]1(O)C)C)C)C)CC)=O)C)C)[C@@H]3O[C@@H](C[C@H](N(C)C)[C@H]3O)C,0.3471520535286399
