Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.3114217432978923,Cc1nn2c(C)cc(CCc3ccc(N(C)C)cc3)nc2c1C(=O)N1CCOCC1,0.3268616808555615
1,0.3131072527125619,CN(C)c1ccc(-c2noc(C3=CCN(C(=O)COc4ccccc4)CC3)n2)cc1,0.367266594726303
2,0.31455458251707236,CN(C)c1ccc(-c2cc(CN3CCOCC3)nc(NCc3ccccc3)n2)cc1,0.3727020899416664
3,0.31207202868524553,COc1ccc(-c2cc(CCCC(=O)Nc3ccc4nc(N5CCOCC5)cc(C)c4c3)no2)cc1,0.27744756137982546
4,0.3102481410122518,CC(C)N(C)C(=O)c1c(-c2ccc3c(c2)CCCC3)nnn1Cc1ccccc1,0.35567735966613784
5,0.3114531726154455,Cc1cc(NC(=O)c2ccc(CN3CN=C(C(=O)c4ccccc4)NC3)cc2)no1,0.3637117974470424
6,0.3146229422971082,CC(C)c1ccccc1NC(=S)N1CCN(Cc2ccc3[nH,0.3229740835266074
7,0.31492917515973445,CCC(=O)Nc1n[nH,0.38766436189714254
8,0.31100607568789557,Cc1ccc(-c2cc(C(=O)NN=C3CCCC3)c3ccccc3n2)cc1,0.4468637615776044
9,0.2890922859294275,Cc1ccc(CNn2c(C)nc3ccccc3c2=O)cc1,0.47740406303532684
10,0.2835004737299395,Cc1ccc(CN2C(=O)CCC2(C)C(=O)NCc2nc3ccccc3[nH,0.42201403341489213
11,0.28463085180278386,COC(=O)NCc1ccc(-c2nc3ccccc3s2)cc1,0.43218708059731464
12,0.2881149438045697,CCc1ccc(C(=O)N2CCC(c3cc(O)c4ccccc4n3)CC2)cc1,0.39734149729344614
13,0.287773880283111,CC(=O)c1ccc(Cn2nnc3ccccc3c2=O)o1,0.35361587558137114
14,0.28747216645117857,CC1=c2ccc(C(=O)NCc3ccc(C)cc3)cc2=CC1,0.49901306214053337
15,0.2830001957707079,Cc1ccc(CNC(=O)c2cc3c(-c4ccccc4)[nH,0.39533688821222873
16,0.28174193837051476,Cc1ccc(CC2=c3ccccc3=NC2=O)cc1,0.4783061764151755
17,0.28578782911788325,Cc1ccc(C(=O)c2nc3ccccc3cc2C)cc1,0.44622369000687784
18,0.2860389119680566,Cc1ccc(CC(=O)Nc2nc(-c3ccc(C)cc3)cs2)cc1,0.5015354766213819
19,0.28905552599267825,Cc1ccc(-c2nc(N)n(C(=O)Cc3ccc(Cl)cc3)n2)cc1,0.5367997575966814
