Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES,f1,f2,f3
0,1.053566766743017,COc1cc(NC(C)=O)ccc1N1CCN(c2ccccc2)CC1,0.4069688389778,4.9,0.9385339367606514,0.17647058823529413
1,0.4080904644163168,COc1ccc(C(=O)Nc2c(C#N)c(C)c(C)n2Cc2ccccc2)cc1,0.3891451623411657,4.9,0.7389977119828373,0.20491803278688525
2,0.3968826193752657,CC(=O)Nc1ccc(N2CCN(c3ccccc3)CC2)c(C)c1,0.4251613018344998,3.9,0.9448929657465802,0.19130434782608696
3,0.4297602924972236,CCC(=O)Nc1ccc(N2CCN(c3ccccc3)CC2)c(C)c1,0.4169189814574199,3.9,0.9323149808063684,0.1864406779661017
4,0.7604724556810833,O=C(Cl)Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1,0.3700401521013916,2.5,0.6846485708361049,0.2
5,0.4364359872814227,CC(=O)Nc1ccc(N2CCN(c3ccccc3)CC2)c(C(C)=O)c1,0.3995720750455552,2.5,0.870860962670241,0.18333333333333332
6,0.4247201929626874,Cc1c(C#N)c(NC(=O)c2ccc(N3CCCC3)cc2)n(Cc2ccccc2)c1C,0.3803274244733835,5.6,0.6664183758944959,0.21705426356589147
7,0.4933750946672546,Cc1ccc(C(=O)NN2CCN(c3ccccc3)CC2)cc1,0.4859562208111707,5.6,0.9446137941803012,0.25
8,0.7730341466584982,Cc1ccc(C(=O)Nc2ccccc2N2CCN(S(C)(=O)=O)CC2)cc1,0.4847766992835478,5.6,0.8930321030393552,0.2631578947368421
9,0.609842882002313,Cc1ccc(C(=O)Nc2ccccc2N2CCN(C)CC2)cc1,0.4708614212703129,7.8,0.9465331947122154,0.23423423423423423
10,0.7059401010035694,Cc1ccc(C(=O)Nc2cccc(NC(=O)N3CCN(c4ccccc4)CC3)c2)cc1,0.4111611734631339,7.8,0.6557227076405576,0.2578125
11,0.4908116725433311,Cc1ccc(C(=O)Nc2ccccc2N2CCOCC2)cc1,0.4750531656576784,7.8,0.9461011773827154,0.23853211009174313
12,1.1796626526392369,Cc1ccc(S(=O)(=O)N(C)CC(=O)N2CCN(c3ccco3)CC2)cc1,0.4561101397552416,5.7,0.7905385464326751,0.2631578947368421
13,0.4546461873083375,Cc1ccc(C(=O)Nc2ccccc2N2CCN(C=N)CC2)cc1,0.3914600571080544,5.7,0.6719027422868731,0.22807017543859648
14,0.7752880424050089,Cc1ccc(CC(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,0.4700411753158155,5.7,0.8600828217020635,0.25688073394495414
15,0.6682717187873353,Cc1ccc(NCC(=O)N2CCN(c3ccccc3)CC2)cc1,0.478964622586555,6.2,0.9431181176123112,0.24324324324324326
16,0.9544005683537744,Cc1ccc(CNC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)cc1,0.4957628144276278,6.2,0.8679133375974966,0.2831858407079646
17,0.4614102309810954,Cc1ccc(C(=O)NNN2CCN(c3ccccc3)CC2)cc1,0.4541147364144204,2.0,0.8477941301848141,0.24324324324324326
18,0.4908754408888369,Cc1ccc(CC(=O)N2CCN(c3ccccc3)CC2)cc1,0.4660503439679432,2.0,0.8688116924505529,0.25
19,0.7714442872255101,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1,0.5448309151896374,4.9,0.9074845056474982,0.32710280373831774
