Experiment,BO Iteration,EHVI-MPO-F1,EHVI-MPO-F2
Experiment 1,1,0.11267605633802817,1.0
Experiment 1,2,0.16153846153846155,1.0
Experiment 1,3,0.19658119658119658,0.1353352832366127
Experiment 1,4,0.11278195488721804,1.0
Experiment 1,5,0.15151515151515152,1.0
Experiment 1,6,0.16153846153846155,1.0
Experiment 1,7,0.18045112781954886,1.0
Experiment 1,8,0.20491803278688525,1.0
Experiment 1,9,0.12403100775193798,1.0
Experiment 1,10,0.13636363636363635,1.0
Experiment 1,11,0.14788732394366197,1.0
Experiment 1,12,0.16417910447761194,1.0
Experiment 1,13,0.14925373134328357,1.0
Experiment 1,14,0.17266187050359713,0.1353352832366127
Experiment 1,15,0.1391304347826087,0.1353352832366127
Experiment 1,16,0.18518518518518517,1.0
Experiment 1,17,0.11940298507462686,1.0
Experiment 1,18,0.15873015873015872,0.1353352832366127
Experiment 1,19,0.12195121951219512,1.0
Experiment 1,20,0.12878787878787878,0.1353352832366127
Experiment 2,1,0.1724137931034483,0.1353352832366127
Experiment 2,2,0.21428571428571427,1.0
Experiment 2,3,0.11450381679389313,1.0
Experiment 2,4,0.15748031496062992,1.0
Experiment 2,5,0.13934426229508196,1.0
Experiment 2,6,0.1,1.0
Experiment 2,7,0.1,0.1353352832366127
Experiment 2,8,0.1484375,1.0
Experiment 2,9,0.17073170731707318,1.0
Experiment 2,10,0.15625,0.1353352832366127
Experiment 2,11,0.152,1.0
Experiment 2,12,0.15217391304347827,0.1353352832366127
Experiment 2,13,0.19491525423728814,1.0
Experiment 2,14,0.13178294573643412,1.0
Experiment 2,15,0.16911764705882354,1.0
Experiment 2,16,0.168,1.0
Experiment 2,17,0.12598425196850394,1.0
Experiment 2,18,0.13043478260869565,1.0
Experiment 2,19,0.1597222222222222,0.1353352832366127
Experiment 2,20,0.18840579710144928,1.0
Experiment 3,1,0.24,0.1353352832366127
Experiment 3,2,0.11475409836065574,1.0
Experiment 3,3,0.1724137931034483,0.1353352832366127
Experiment 3,4,0.17763157894736842,1.522997974471263e-08
Experiment 3,5,0.168141592920354,0.1353352832366127
Experiment 3,6,0.15789473684210525,0.1353352832366127
Experiment 3,7,0.11475409836065574,0.1353352832366127
Experiment 3,8,0.16806722689075632,1.0
Experiment 3,9,0.15172413793103448,0.1353352832366127
Experiment 3,10,0.18699186991869918,1.0
Experiment 3,11,0.15503875968992248,1.0
Experiment 3,12,0.1559633027522936,0.1353352832366127
Experiment 3,13,0.18840579710144928,1.0
Experiment 3,14,0.16666666666666666,0.1353352832366127
Experiment 3,15,0.16312056737588654,0.1353352832366127
Experiment 3,16,0.1794871794871795,0.1353352832366127
Experiment 3,17,0.15441176470588236,1.0
Experiment 3,18,0.15789473684210525,1.0
Experiment 3,19,0.2066115702479339,1.0
Experiment 3,20,0.22935779816513763,0.1353352832366127
