Experiment,Iteration,Chosen Smiles for Perin-MPO,RS-MPO
Experiment 1,1,0.005857360997383206,1,0.12411291624223095
Experiment 1,2,0.12343590489011895,2,0.06453032280352038
Experiment 1,3,0.11091982495011786,3,0.30966176864266615
Experiment 1,4,0.11551153729684376,4,0.11001434184416313
Experiment 1,5,0.11675141042737402,5,0.24356115022372735
Experiment 1,6,0.09969894462706821,6,0.12343590489011895
Experiment 1,7,0.24618298195866548,7,0.004637242133977411
Experiment 1,8,0.004258299545799638,8,0.09831991632152833
Experiment 1,9,0.3494181209608539,9,0.29488391230979427
Experiment 1,10,0.12377792800313231,10,0.006889929360303927
Experiment 1,11,0.34246744460938755,11,0.061101449440816274
Experiment 1,12,0.1390453591132932,12,0.1208491910108619
Experiment 1,13,0.3615507630310936,13,0.23461856610173254
Experiment 1,14,0.34641016151377546,14,0.3922322702763681
Experiment 1,15,0.2990499863048703,15,0.11250447415806396
Experiment 1,16,0.322490309931942,16,0.06340236508299363
Experiment 1,17,0.16845400837234215,17,0.13136787788077012
Experiment 1,18,0.12481250778338863,18,0.21128856368212914
Experiment 1,19,0.408248290463863,19,0.2683281572999747
Experiment 1,20,0.13214619628207613,20,2.6930227082232366e-05
Experiment 2,1,0.4306783846070545,1,0.00728989674269875
Experiment 2,2,0.3930286817974576,2,0.00421578633927423
Experiment 2,3,0.37668540175044196,3,0.10848172887097572
Experiment 2,4,0.10688501778297699,4,0.1643989873053573
Experiment 2,5,0.14761867910076484,5,0.004939360487884395
Experiment 2,6,0.1417110079372599,6,0.12108394753489436
Experiment 2,7,0.3550358012483631,7,0.006752544856941094
Experiment 2,8,0.3611575592573076,8,0.13303802104754786
Experiment 2,9,0.36514837167011077,9,2.7857672610924586e-05
Experiment 2,10,0.14368147145503243,10,0.004330423681538691
Experiment 2,11,0.11723902807392457,11,0.10125548366617314
Experiment 2,12,0.13202099853129468,12,0.10701143416989603
Experiment 2,13,0.4306783846070545,13,0.11575635185044503
Experiment 2,14,0.1484295293331257,14,0.004945787765148389
Experiment 2,15,0.40038149746391927,15,0.21908902300206645
Experiment 2,16,0.160555751027256,16,0.10869675728588314
Experiment 2,17,0.15341633223901482,17,0.3208444739598739
Experiment 2,18,0.14455919172275344,18,0.08825577063053285
Experiment 2,19,0.3930286817974576,19,0.11846843509317789
Experiment 2,20,0.14873504498262935,20,0.3150184775872267
Experiment 3,1,0.124169012478425,1,0.29546842014263947
Experiment 3,2,0.14554351204332194,2,0.22549380840084865
Experiment 3,3,0.13161655007743678,3,0.004578909722183545
Experiment 3,4,0.40126917294073605,4,0.12262648039048074
Experiment 3,5,0.3730019232961255,5,0.1528924274685738
Experiment 3,6,0.14850804271038728,6,0.12664808436169667
Experiment 3,7,0.13566723451216706,7,0.005269006014243949
Experiment 3,8,0.14360542939019044,8,0.2795084971874737
Experiment 3,9,0.29111125486979095,9,0.39086797998528583
Experiment 3,10,0.11353006030987177,10,0.09562570728818542
Experiment 3,11,0.1289190540717,11,0.005765764841420018
Experiment 3,12,0.32732683535398854,12,0.13286244107442036
Experiment 3,13,0.14945531575686632,13,0.005811317018847057
Experiment 3,14,0.10302685095914489,14,0.282842712474619
Experiment 3,15,0.1741659277258904,15,0.00354680821956082
Experiment 3,16,0.13152374253264162,16,0.21239769762143662
Experiment 3,17,0.14945531575686632,17,0.003074028544143921
Experiment 3,18,0.322490309931942,18,0.12728751460138302
Experiment 3,19,0.11477905345283462,19,0.0847164156508611
Experiment 3,20,0.32444284226152503,20,0.2651650429449553
